,sentence1,sentence2,gold_label_log_numeric,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes
165,This dancer would hire no customers.,This dancer would hire some customers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
166,This dancer would hire all customers.,This dancer wouldn't hire all customers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
167,This dancer wouldn't hire all customers.,This dancer would hire all customers.,-1,contradiction,contradiction,negation,control,quantifier,some - all
168,Some dresses tighten.,Not all dresses tighten.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
169,Not all dresses tighten.,Some dresses tighten.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
170,Some dresses tighten.,All dresses tighten.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
171,All dresses tighten.,Some dresses tighten.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
172,Not all dresses tighten.,No dresses tighten.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
173,No dresses tighten.,Not all dresses tighten.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
174,All dresses tighten.,No dresses tighten.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
175,No dresses tighten.,All dresses tighten.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
176,Some dresses tighten.,No dresses tighten.,-1,contradiction,contradiction,negation,control,quantifier,some - all
177,No dresses tighten.,Some dresses tighten.,-1,contradiction,contradiction,negation,control,quantifier,some - all
178,All dresses tighten.,Not all dresses tighten.,-1,contradiction,contradiction,negation,control,quantifier,some - all
179,Not all dresses tighten.,All dresses tighten.,-1,contradiction,contradiction,negation,control,quantifier,some - all
180,Karen explores some public parks.,Karen doesn't explore all public parks.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
181,Karen doesn't explore all public parks.,Karen explores some public parks.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
182,Karen explores some public parks.,Karen explores all public parks.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
183,Karen explores all public parks.,Karen explores some public parks.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
184,Karen doesn't explore all public parks.,Karen explores no public parks.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
185,Karen explores no public parks.,Karen doesn't explore all public parks.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
186,Karen explores all public parks.,Karen explores no public parks.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
187,Karen explores no public parks.,Karen explores all public parks.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
188,Karen explores some public parks.,Karen explores no public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
189,Karen explores no public parks.,Karen explores some public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
190,Karen explores all public parks.,Karen doesn't explore all public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
191,Karen doesn't explore all public parks.,Karen explores all public parks.,-1,contradiction,contradiction,negation,control,quantifier,some - all
192,Regina exited some cafes.,Regina didn't exit all cafes.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
193,Regina didn't exit all cafes.,Regina exited some cafes.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
194,Regina exited some cafes.,Regina exited all cafes.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
195,Regina exited all cafes.,Regina exited some cafes.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
196,Regina didn't exit all cafes.,Regina exited no cafes.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
197,Regina exited no cafes.,Regina didn't exit all cafes.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
198,Regina exited all cafes.,Regina exited no cafes.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
199,Regina exited no cafes.,Regina exited all cafes.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
200,Regina exited some cafes.,Regina exited no cafes.,-1,contradiction,contradiction,negation,control,quantifier,some - all
201,Regina exited no cafes.,Regina exited some cafes.,-1,contradiction,contradiction,negation,control,quantifier,some - all
202,Regina exited all cafes.,Regina didn't exit all cafes.,-1,contradiction,contradiction,negation,control,quantifier,some - all
203,Regina didn't exit all cafes.,Regina exited all cafes.,-1,contradiction,contradiction,negation,control,quantifier,some - all
204,Some boys forget about what tightens.,Not all boys forget about what tightens.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
205,Not all boys forget about what tightens.,Some boys forget about what tightens.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
206,Some boys forget about what tightens.,All boys forget about what tightens.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
207,All boys forget about what tightens.,Some boys forget about what tightens.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
208,Not all boys forget about what tightens.,No boys forget about what tightens.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
209,No boys forget about what tightens.,Not all boys forget about what tightens.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
210,All boys forget about what tightens.,No boys forget about what tightens.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
211,No boys forget about what tightens.,All boys forget about what tightens.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
212,Some boys forget about what tightens.,No boys forget about what tightens.,-1,contradiction,contradiction,negation,control,quantifier,some - all
213,No boys forget about what tightens.,Some boys forget about what tightens.,-1,contradiction,contradiction,negation,control,quantifier,some - all
214,All boys forget about what tightens.,Not all boys forget about what tightens.,-1,contradiction,contradiction,negation,control,quantifier,some - all
215,Not all boys forget about what tightens.,All boys forget about what tightens.,-1,contradiction,contradiction,negation,control,quantifier,some - all
216,Most actors impress some organizations.,Most actors don't impress all organizations.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
217,Most actors don't impress all organizations.,Most actors impress some organizations.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
218,Most actors impress some organizations.,Most actors impress all organizations.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
219,Most actors impress all organizations.,Most actors impress some organizations.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
220,Most actors don't impress all organizations.,Most actors impress no organizations.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
221,Most actors impress no organizations.,Most actors don't impress all organizations.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
222,Most actors impress all organizations.,Most actors impress no organizations.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
223,Most actors impress no organizations.,Most actors impress all organizations.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
224,Most actors impress some organizations.,Most actors impress no organizations.,-1,contradiction,contradiction,negation,control,quantifier,some - all
225,Most actors impress no organizations.,Most actors impress some organizations.,-1,contradiction,contradiction,negation,control,quantifier,some - all
226,Most actors impress all organizations.,Most actors don't impress all organizations.,-1,contradiction,contradiction,negation,control,quantifier,some - all
227,Most actors don't impress all organizations.,Most actors impress all organizations.,-1,contradiction,contradiction,negation,control,quantifier,some - all
228,Some cashiers had concealed David.,Not all cashiers had concealed David.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
229,Not all cashiers had concealed David.,Some cashiers had concealed David.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
230,Some cashiers had concealed David.,All cashiers had concealed David.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
231,All cashiers had concealed David.,Some cashiers had concealed David.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
232,Not all cashiers had concealed David.,No cashiers had concealed David.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
233,No cashiers had concealed David.,Not all cashiers had concealed David.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
234,All cashiers had concealed David.,No cashiers had concealed David.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
235,No cashiers had concealed David.,All cashiers had concealed David.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
236,Some cashiers had concealed David.,No cashiers had concealed David.,-1,contradiction,contradiction,negation,control,quantifier,some - all
237,No cashiers had concealed David.,Some cashiers had concealed David.,-1,contradiction,contradiction,negation,control,quantifier,some - all
238,All cashiers had concealed David.,Not all cashiers had concealed David.,-1,contradiction,contradiction,negation,control,quantifier,some - all
239,Not all cashiers had concealed David.,All cashiers had concealed David.,-1,contradiction,contradiction,negation,control,quantifier,some - all
240,Those guests do boast about some stories.,Those guests don't boast about all stories.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
241,Those guests don't boast about all stories.,Those guests do boast about some stories.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
242,Those guests do boast about some stories.,Those guests do boast about all stories.,0,neutral,contradiction,negated implicature_P,target,quantifier,some - all
243,Those guests do boast about all stories.,Those guests do boast about some stories.,1,entailment,contradiction,reverse negated implicature_P,target,quantifier,some - all
244,Those guests don't boast about all stories.,Those guests do boast about no stories.,0,neutral,contradiction,negated implicature_N,target,quantifier,some - all
245,Those guests do boast about no stories.,Those guests don't boast about all stories.,1,entailment,contradiction,reverse negated implicature_N,target,quantifier,some - all
246,Those guests do boast about all stories.,Those guests do boast about no stories.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
247,Those guests do boast about no stories.,Those guests do boast about all stories.,-1,contradiction,contradiction,opposite,control,quantifier,some - all
248,Those guests do boast about some stories.,Those guests do boast about no stories.,-1,contradiction,contradiction,negation,control,quantifier,some - all
249,Those guests do boast about no stories.,Those guests do boast about some stories.,-1,contradiction,contradiction,negation,control,quantifier,some - all
250,Those guests do boast about all stories.,Those guests don't boast about all stories.,-1,contradiction,contradiction,negation,control,quantifier,some - all
251,Those guests don't boast about all stories.,Those guests do boast about all stories.,-1,contradiction,contradiction,negation,control,quantifier,some - all
252,Thomas revealed some gates.,Thomas didn't reveal all gates.,0,neutral,entailment,implicature_PtoN,target,quantifier,some - all
253,Thomas didn't reveal all gates.,Thomas revealed some gates.,0,neutral,entailment,implicature_NtoP,target,quantifier,some - all
