,gold_label,sentence1,sentence2
48,neutral,"People are riding bicycles in the street, and they are all wearing helmets.","A group of friends are biking through a street, all wearing their helmets"
49,neutral,a woman in a black shirt looking at a bicycle.,A woman dressed in black shops for a bicycle.
50,neutral,A guy and a girl look down a mountain range.,The couple is going to climb the mountains.
51,neutral,A man in a brown jacket stands with his arms spread.,The man pleads for mercy.
52,neutral,A standing man talks to a seated woman while on some sort of vehicle.,Two people are discussing their relationship.
53,neutral,A woman leans over a small fence to take a picture of a yellow flower.,The woman is a professional photographer
54,neutral,Several men at a bar watch a sports game on the television.,There are men drinking beer at a sports bar.
55,neutral,Children in yellow sports uniforms climbing a tower.,The children are martial arts students.
56,neutral,A crowded city street with lots of pedestrians.,The pedistrians are waiting for a parade to come through this busy street.
57,neutral,A group of people are in a rowboat in the ocean surrounded by seagulls.,A group of people are rowing towards some islands while one of them fishes.
58,neutral,A woman in a brown shirt is kneeling in the street.,A woman is protesting in the street.
59,neutral,A man holding a baby who is petting a pony.,A man and his daughter are petting a pony.
60,neutral,Men sitting on the side of a brick road.,men are talking on the side of the road
61,neutral,A black dog with a blue collar is jumping into the water.,A black dog wearing a blue collar is chasing something into the water.
62,neutral,many children play in the water.,The children are at camp.
63,neutral,a climber wearing a red headband is pulling himself up some gray rocks high above some green foliage.,A climber pulls himself up 5000 feet up over a forest
64,neutral,a man with a red headband climbing a rock cliff looming over greenery.,A man has on climbing gear.
65,neutral,"Two formally dressed, bald older women",Two bald women with glasses.
66,neutral,an old shoemaker in his factory,The shoemaker is wealthy.
67,neutral,The woman in the black shirt hands papers to the children surrounding her.,THe woman is giving homework to the children.
68,neutral,Girl in red jumping up,The girl is jumping to catch the frisbee.
69,neutral,3 ladies with numbers on their shirts running.,The ladies are in a marathon.
70,neutral,A young boy walks on a pipe that stretches over water.,A boy is in danger of falling into water.
71,neutral,Four children are playing in some water.,The children are muddy.
72,neutral,The man in the black t-shirt is trying to throw something.,The man is throwing something to his son.
73,neutral,Biker riding through the forest.,Mountain biker competes in off-road race.
74,neutral,A woman wearing jeans is walking down the street.,A woman is walking towards a bus stop.
75,neutral,The little boy gets ready to kick the soccer ball.,the boy is ten years old
76,neutral,A man and woman sitting on the sidewalk.,The man and woman are married.
77,neutral,A carpenter is working on a roof at a house being built.,A man is hammering the final shingle on a roof.
78,neutral,Two little boys wearing athletic jerseys are washing their hands in a public restroom.,They were playing soccer.
79,neutral,"Two street people and a dog sitting on the ground and one is holding an ""out of luck"" sign.",the dog is a chihuahua
80,neutral,"A woman doing gymnastics, she is using the balance beam",A woman is doing a handstand on the balance beam.
81,neutral,Three women are sitting on a green bench looking out at the coast.,The three women are best friends.
82,neutral,A man in a black tank top wearing a red plaid hat,A man getting ready to play golf.
83,neutral,The boys are playing with Legos.,Boys are playing outside.
84,neutral,A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A father is buying his daughter ice cream.
85,neutral,Three men are carrying a red bag into a boat with another person and boat in the background.,Some sailors get in a sailboat.
86,neutral,A crowd of people shopping at a street market in an urban area with buildings and a statue in background.,The crowd of people are shopping at a street market that sells fruits.
87,neutral,"A female softball player wearing blue and red crouches in the infield, waiting for the next play.",the player is pretty
88,neutral,Two people crossing by each other while kite surfing.,The people are both males.
89,neutral,A variety of people are sitting around a tale doing craft projects.,The people are creative.
90,neutral,A mother and daughter walk along the side of a bridge.,A mother and daughter are walking home.
91,neutral,A man is painting a picture outside behind a crowd.,A man is recreating the Mona Lisa outside in front of a crowd.
92,neutral,Two dogs run together near the leaves.,The two dogs are running to play in the leaves.
93,neutral,A man with no shirt on is performing with a baton.,A man is trying his best at the national championship of baton.
94,neutral,Female gymnasts warm up before a competition.,Gymnasts get ready for the biggest competition of their life.
95,neutral,Dark-haired man wearing a watch and oven mitt about to cook some meat in the kitchen.,A man is going to surprise his wife with dinner.
96,neutral,two boys reading superhero books,Two boys reading a book about spiderman.
97,neutral,A blond little boy in an orange sweatshirt with red sleeves is using scissors to cut something.,A blond little boy is cutting out little stars for his little sister.
98,neutral,An old man looking over a sculpture.,the man is at an art gallery
99,neutral,A child in a ninja outfit does a jumping kick.,a child in a black ninja suit does a kick
100,neutral,Three men are sitting outside on chairs with red seats.,Men are having a conversation outside.
101,neutral,A man cooking over high flames.,A man is cooking for his friends.
102,neutral,"A man is shooting a gun outdoors, on what looks like a beautiful sunny day.",A man is shooting a gun outside with his friends.
103,neutral,"People seated at long tables all facing the same direction, some writing and some watching.",A family reunion is in progress as relatives sit at tables and write down each other's addresses.
104,neutral,An elderly woman is preparing food in the kitchen.,A person makes dinner.
105,neutral,A group of cleaners are sweeping up animal feces from the street during a parade or festival.,Workers cleaning up after St Patrick's Day.
106,neutral,A car is loaded with items on the top.,The car is going on a trip.
107,neutral,A man wearing a snorkel and goggles gives a thumbs up as he and another person speed through the water.,Two guys are on a lake.
108,neutral,Several women wearing dresses dance in the forest.,The women are older
109,neutral,Dog running with pet toy being chased by another dog.,a black dog with a toy is being based by a brown dog
110,neutral,"A woman, wearing a colorful bikini, rests laying down next to the blue water.",The woman is a super model.
111,neutral,A brown dog carries an object in its mouth on a snowy hillside.,A dog is taking something to its owner.
112,neutral,Two men in neon yellow shirts busily sawing a log in half.,Two men are cutting wood to build a table.
113,neutral,Two strong men work to saw a log.,two strong men work to saw the oak log
114,neutral,Two ladies at workout in mother nature.,The ladies are kickboxing.
115,neutral,An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.,An Asian man is selling food.
116,neutral,A man is working on a Earthen structure with a pickaxe.,A man is repairing a dam.
117,neutral,A child plays with her father's boots.,A child players with her father's boots while he is at work.
118,neutral,A female gymnast in black and red being coached on bar skills.,The female gymnast is training for the Olympics.
119,neutral,A woman in a white hijab digs into the ground.,the lady digs into the ground for gold
120,neutral,A man stands by two face structures on Easter Island.,A tourist has his picture taken on Easter Island.
121,neutral,a man in a red shirt is laying on the grass reaching out to another person.,The man is reaching for his wife.
122,neutral,Men in hard hats work along a wall.,Guys are working near a wall and it starts raining.
123,neutral,Two men working on farm equipment that is being pulled by two horses.,The horses are both brown.
124,neutral,A brown and black dog runs on the grass outdoors in front of a sidewalk.,The big dog is playing with a toy.
125,neutral,A group of kids play on a colorful structure.,A group of kids are playing in the city park.
126,neutral,A man walking and carrying a notebook.,The man is on his way to class.
127,neutral,A man in an overcoat putting on his gloves at a subway station.,A person is waiting for the train.
128,neutral,One confused man is standing and staring off into the distance in front of some ticket collecting machines.,The man is confused because he doesn't know where he is.
129,neutral,two dogs fighting over a pink and red toy,The dogs are in the backyard.
130,neutral,A man is walking past a large sign that says E.S.E. Electronics.,The man works at E.S.E Electronics.
131,neutral,A crowd of people are packed into a subway car.,A crowd of people are headed to work.
132,neutral,A girl wearing a scarf is brushing a horse.,A girl is brushing a horse after coming back from a ride in the snow.
133,neutral,An Asian woman enjoys a nice treat,The Asian woman is eating ice cream.
134,neutral,Kids playing on the rocks with a steamboat in the background.,The kids are playing tag.
135,neutral,This person in a yellow kayak is riding the rapids.,This person is going to the waterfall
136,neutral,A person with an orange shovel is shoveling snow.,The person is clearing their snowed up driveway
137,neutral,A man in a suit with a purple striped tie talking to a lady wearing sunglasses.,A man is talking to a lady about the weather.
138,neutral,People are standing next to a chain link fence.,The people are at a school.
139,neutral,"Two guys walking, one carrying a skateboard",The men are walking to the park.
140,neutral,A male runner in an orange and white t-shirt and black shorts is sprinting down the track.,A tall person running
141,neutral,A woman with short blond-hair rises from a chair as another woman in a burgundy shirt laughs.,A woman is getting up to get some water
142,neutral,Here is an announcement for everybody about the beach.,The announcement for the beach is a warning.
143,neutral,A person in a yellow helmet rock climbing while another person waits on the ground with the tether.,The helmet has a stripe on it.
144,neutral,A group of men and boys look upwards at something.,A group of coaches are showing their team the scoreboard.
145,neutral,A brown dog runs through a grassy field,A dog chases a rabbit.
146,neutral,kids are looking at something on a table.,Some kids are looking at an insect on the kitchen table.
147,neutral,skateboarder sliding down a ramp,A skateboarder is doing tricks for a competition.
148,neutral,There is a group of children getting their picture taken with presents.,Young children open presents under a large Christmas tree.
149,neutral,"A man stands speaking to a crowd of sitting people, all wearing business attire.",A stock broker is speaking at a Wall Street conference.
150,neutral,Man and women standing under a red umbrella.,The married couple stood under the umbrella.
151,neutral,San Fransisco 49ers football field with cheerleaders and a packed stadium.,The 49ers are ready to play versus their rivals.
152,neutral,Indian men selling food items on the sidewalk,Men are selling hotdogs on the sidewalk.
153,neutral,A man walks with a cow down a dirt sidewalk.,A man leads a cow to be milked.
154,neutral,Soldiers are holding guns and peeking around a building.,Soldiers are holding guns and peeking around an extremely small building.
155,neutral,Three army soldiers are holding guns and peering around a corner of a building.,Soldiers are being told to guard a building.
156,neutral,A woman raises her arms as she looks out over the water at the setting sun.,a woman enjoying a florida beacj
157,neutral,A man takes a drink in the doorway of a home.,A man is looking out onto his front lawn from the doorway of his home.
158,neutral,"Two woman, one wearing a blue striped shirt and the other wearing a flowered shirt, are riding horses.",Women are outside riding horses as their families watch them from the other side of the farm.
159,neutral,"People are all standing together in front of a statue of an animal, and they are all wearing cool-weather clothing.",People wearing cool-weather clothing because of the excessive wind.
160,neutral,A man dances with a woman in a white egyptian costume.,A couple dances in a competition.
161,neutral,The pitcher is pitching the ball in a game of baseball.,The pitcher wants to strike out the last player on the team.
162,neutral,A tan dog chases a black and white soccer ball.,A dog is at the park with it's owner.
163,neutral,Some men and boys are playing with a Frisbee in a grassy area.,A group of people play a competitive game of Frisbee.
164,neutral,"A musician playing a guitar and harmonica singing a song with ""Whatever it Takes"" written on his guitar.",The musician singing the song is asian.
165,neutral,A pale colored dog runs through a body of water.,A dog runs through some water to catch a stick.
166,neutral,"A lady wearing gloves, and a ponytail cooks something while people stand and watch.",The lady cooks meat
167,neutral,A lone person is walking in front of a white building.,A person walks outside with an umbrella in his hand.
168,neutral,A young woman in a bikini looking at something in a glass case.,A lady shopping.
169,neutral,A very dirty race car doing a burnout on some dirt.,A car does a burnout in front of thousands of onlookers.
170,neutral,"A young man in jeans and a red shirt, wearing yellow gloves, holds a tree branch.",A man trims a tree
171,neutral,A girl laying on the ground on her cellphone.,a girl on her cellphone lying on the ground next to a dog
172,neutral,A man is renovating a room.,A man is using a hammer in a room.
173,neutral,four people standing on a hiking trail in a forest with big tree logs on the ground close to them.,Tall humans standing
174,neutral,Two young girls hang tinsel on a Christmas tree in a room with blue curtains.,Two girls are happy and getting into the spirit of Christmas.
175,neutral,A boy kneeling on a skateboard riding down the street,A boy on a skateboard riding down the street his house is on.
176,neutral,3 girls chatting and laughing on the stairwell.,Girls are at school.
177,neutral,Shipyard workers are standing around.,Shipyard workers are waiting on the docks
178,neutral,A lady wearing a straw hat and gold hoop earrings is pointing a finger.,A woman points at the man she is talking about.
179,neutral,Three hikers and a dog are walking through the foliage on the hillside.,People are hiking threw a woods.
180,neutral,"A group of men, some with musical instruments, sit in chairs around the perimeter of a room.",A group of men are preparing for a concert.
181,neutral,Times Square in New York.,Times Square is packed.
182,neutral,A group of young adults wait in line outdoors in the daytime.,College kids wait in line for concert tickets.
183,neutral,Military personnel are shopping,Military personnel are buying groceries.
184,neutral,"Two black labs run, one carrying an orange dog toy.",Both dogs are female.
185,neutral,A black man in a blue suit is talking on a cellphone while smoking.,The man is talking to his friend on the phone
186,neutral,Several people in blue scrubs and one in a skirt and black blouse.,There are people at the hospital.
187,neutral,a matador in white and gold clothing and pink sock is getting hit by a raging bull,The raging bull is going to stamp the matador to pieces
188,neutral,A large crowd of people talking to each other.,People speak a variety of different languages.
189,neutral,Elderly people walking down a city street.,The elderly people are walking to a restaurant.
190,neutral,An older women looking off into the distance with three older women walking towards her from behind.,An older woman is trying to see a billboard that is far away
191,neutral,Man with a spider web & spiders painted on his face.,The man has his face painted for a Halloween event.
192,neutral,Man sitting on bench with a suitcase in front of PADDINGTON sign.,A man taking a break
193,neutral,A sungalsses vendor gazes into the distance.,A woman vendor gazes into the distance.
194,neutral,An Ambulance is passing a man wearing a bandanna and girl.,The ambulance has its sirens on
195,neutral,Two children are swimming in a pool.,Two kids are in a swimming race.
196,neutral,A man in a red shirt is sitting on top of a rocky mountain.,A rugged man sits atop a mountain.
197,neutral,A group of smiling people are posing outdoors for a picture.,The group of people are smiling for their family photo.
198,neutral,A woman is taking a picture of a girl on a scooter.,The woman is the girl's mom.
199,neutral,A person taking pictures of a young brunette girl.,A young model has her first photoshoot.
200,neutral,An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman is in her 20s.
201,neutral,The man in the black shirt is showing the man in the orange shirt something that he has for sale.,A retail store worker shows a customer the latest designer wear.
202,neutral,a woman in a brown dress looking at papers in front of a class.,A woman checking papers is a teacher.
203,neutral,Three women sit together near woven walls.,The woven walls are multicolored.
204,neutral,Three young men are playing soccer in the beach wearing shorts and beach attire while some people watch,Three young men are playing soccer in the beach wearing daisy duke shorts
205,neutral,A man is steering his ship out at sea.,A man is sailing to Cuba.
206,neutral,Dog running through the snow.,This is the first time the dog has seen snow.
207,neutral,Kids out in front of a building doing sightseeing.,The kids are on a fieldtrip
208,neutral,A woman is lying on her stomach on a white pillow and crying.,A woman cries because her husband left.
209,neutral,Women in red are performing with nun-chucks.,The women are auditioning for a kung fu movie.
210,neutral,A young man waits on a bench with his bag behind a few advertisements in London.,The advertisements behind him are for a food.
211,neutral,Rock band on stage immersed in light show.,Some of the lights are yellow.
212,neutral,"A guitarist, a drummer, and another band member are performing on stage with red lights on the background.",A band is playing a concert in a packed stadium.
213,neutral,"A little boy with a shirt, shorts and socks on, standing on the beach.",A boy is watching the ocean.
214,neutral,Three women talk to each other next to another woman sitting on a motorcycle.,A group of women went for a motorcycle ride.
215,neutral,A group of uniformed officers in a street wearing a mixture of gas masks and face shields.,The police are controlling an unruly crowd.
216,neutral,A crowd watching a duo in blue dance on a stage.,A crowd is watching a talent show.
217,neutral,An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks a three-wheeled pedal card fully of white bags and he can be seen leaving the store.
218,neutral,An Asian man is praying at a Buddhist temple.,The man has been Buddhist his whole life.
219,neutral,"A man looks at an iPad on a subway, while a beautiful women reads a book.",The man with the ipad is older than the woman reading the book.
220,neutral,A group of people wearing white robes with flame pattern posing for a picture at some sort of festival.,The group of people are part of a cult.
221,neutral,Men work on a city street.,The men are construction workers
222,neutral,A fat woman wearing faint blue top is blowing soap bubble.,A fat woman is wearing pants.
223,neutral,A man is swimming with a little girl wearing a pink life jacket in an indoor pool,A man is teaching his granddaughter to swim.
224,neutral,An older gentleman wearing a hat is walking on crutches next to a busy street.,A man on crutches is trying to cross the street.
225,neutral,An elderly man is smiling while sitting in front of a row of soda cans.,An old man collects soda cans.
226,neutral,The guitarist performs a rocking solo.,the musician is performing his favorite song
227,neutral,Man with plaid shirt staring off into the distance.,Man stares off into the distance at the incoming clouds.
228,neutral,Three adults are working in a garden near a fence in the yard.,They are planting flowers.
229,neutral,"A group of people, mostly in straw hats, follow a man onto a beach covered with many large rocks.",They plan to go throw rocks into the water
230,neutral,The guy in the black jacket is standing on his hand on a checkered rectangle.,The circus performer wows the crowd with his feat.
231,neutral,A man in a gray shirt and green tie is working with his computer at his office desk.,A man in a gray shirt is working on a novel.
232,neutral,A young boy plays on a pile of rocks.,A boy is playing army with action figures on rocks.
233,neutral,One man cutting through ice on a cold day.,The man cut the ice wrong.
234,neutral,Three dogs run through the grass while wearing colored shirts.,Three small dogs run through the grass during the day
235,neutral,A person rides a motorbike on a dirt path surrounded by trees.,The bike is black.
236,neutral,a man grabs his crotch during a political demonstration.,The man is protesting for better wages.
237,neutral,A dog and a cow play together inside the fence.,A dog and cow are playing with hay.
238,neutral,People looking at their reflection and the reflection of a city in a long irregular shaped mirror,People look at their reflection in New York City.
239,neutral,She is standing outside a building.,A woman is posing for a selfie.
240,neutral,A man is riding his dirt bike through the air in the desert.,A man is showing off to his girlfriend while doing tricks on a dirt bike.
241,neutral,"Three people wearing black blindfolds near a ""Salvar O Planeta"" sign.",they are protesting
242,neutral,A young woman wearing a yellow sweater and black pants is ice skating outdoors.,a woman is practicing for the olympics
243,neutral,A woman standing in front of a large tank at an aquarium turns around to look at the photographer.,A woman wants a new facebook picture of her at the aquarium
244,neutral,A boy in sports themed pajamas is in front of a Christmas tree.,the kid is in front of the tree on christmas eve
245,neutral,A man is laid back in front of a tv.,he is watching the news
246,neutral,A little boy playing outside on the cement.,A boy is playing with a toy car.
247,neutral,People hurrying to get to work in a busy city.,People rushing to get to work in a busy city cause they are late.
248,neutral,Boy with red shorts getting soaked with water.,The boy is having fun.
249,neutral,Three women are dressed in ninja costumes.,The ninja costumes are black.
250,neutral,Two dogs are playing catch in a field.,The two dogs are playing with a frisbee.
251,neutral,Man and a child at an exhibit booth looking at something.,A man and his son are looking at something.
252,neutral,An elderly woman in a white jacket walking past a brick wall using a cain to support herself.,The woman is Asian.
253,neutral,A group of firemen and officials prepare to turn a car right side after a crash.,A group of people are helping an accident victim on the highway.
254,neutral,A man is playing drums with a band.,A man is playing at the music festival.
255,neutral,A couple walking down the street.,"An old couple walking, holding hands"
256,neutral,"Right leg in a brace, a young boy lies on the couch while using his cellphone.",The boy is not happy
257,neutral,"A girl wearing khakis and a red sweatshirt is jumping in the air, while she is in the forest.",The girl is jumping because she is happy.
258,neutral,A dark headed woman picking out a green flower from a large bucket full of them.,A woman picks a flower for her mother.
259,neutral,A BMX rider is in midair while on a dirt trail.,The BMX rider is getting dirt on his clothes.
260,neutral,Two construction workers are working in front of a wall which has a bunch of names carved into it.,They are working near a brick building.
261,neutral,A man is standing inside a building under construction filled with bricks and various tools.,a contractor looks at the job
262,neutral,A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,The tennis ball was thrown really far.
263,neutral,A man standing alone in a park.,a man alone in the park up to no good
264,neutral,several people are bike riding.,A group of siblings are riding their bikes to school.
265,neutral,"A man with long red-hair, a brown shirt and plaid pants sells fruit in a market.",The man is intelligent
266,neutral,A woman stands smiling while holding a stuffed cat.,A female is posing for the camera.
267,neutral,A child with blond-hair looking out of a screen door.,A blond haired kid looks through his front door at the mailman.
268,neutral,A couple about to kiss somewhere.,A couple are kissing on new years eve as the ball drops.
269,neutral,A man is painting a city scene on a canvas in the street.,A man is painting New York City.
270,neutral,The dogs run a race at the track.,People are betting on dogs at a track.
271,neutral,Performer who is wearing 2 hats a scary mask and a black and white robe.,The actor playing Voldemort is wearing a scary mask and a black and white robe.
272,neutral,Four entertainers dressed in Roman style garb are performing at an outdoor theater.,Professional actors are doing summer stock.
273,neutral,"A group of young adults with ""X"" on their hands, smiling.",They are all under 21 at a club.
274,neutral,Two bearded men sit side by side.,Two men are sitting together at a park.
275,neutral,"Five individuals standing on grass next to a brick building, holding their own string instrument.",The people are friends.
276,neutral,The small boy is running through a grassy area.,The boy is in a park.
277,neutral,Two people bicycle on a path separated by small mountains.,Two people are in a bike race.
278,neutral,Four children are sitting at a table eating breakfast.,Children are eating cereal.
279,neutral,The man in the black shirt is skateboarding on the front steps of the building.,A guy is doing skateboard tricks outside a building to promote a movie.
280,neutral,A group of swimmers jump into a pool.,A group of swimmers jump into a pool during a swim meet.
281,neutral,"The person is fishing, with waves splashing around him.",There are lots of fish landing on the person's line today.
282,neutral,"Two boys with blond-hair, wearing striped shirts on a bed.",Two children sleeping in a bedroom.
283,neutral,A brown-haired lady carries a reusable bag and holds a coffee in one hand and a cookie in the other.,A lady just exited Starbucks.
284,neutral,A chef is cutting a piece of fish with a chefs knife.,The chef is preparing sushi.
285,neutral,A female guitarist is playing on stage.,The woman is doing a solo piece at church.
286,neutral,A man scales a rock climbing wall.,A man rock climbing after nearly falling to his death.
287,neutral,Construction workers are standing upon on a wooden bridge.,The men are nervous
288,neutral,A person doing a trick on a snowboard.,A pro snowboarder is competing in the Olympics.
289,neutral,A barefoot child climbs at the jungle gym.,A barefoot child has shoes nearby.
290,neutral,A woman and a young girl are sitting down and smiling.,A mother and daughter are chatting.
291,neutral,A father and son are in a field of yellow flowers.,People are picking flowers.
292,neutral,There are many people in a large room with a lot of furniture with tags on them.,"Treasure hunters flock to an estate sale, with a lot of antique furniture for sale."
293,neutral,The bears are facing each other with their mouths wide open.,Two bears are facing each other in the woods with their mouths open.
294,neutral,The children play in the pool.,The children are playing Marco Polo.
295,neutral,"A man in a black hat, standing on the street while playing an electric guitar and singing.",The man has a great singing voice.
296,neutral,A guy gettin lots of air on a skateboard at a skatepark,A guy riding a skateboard in the rain.
297,neutral,"A biker with a blue jacket, black pants, and white helmet driving on dirt while people watch.",A biker is getting ready to race against his opponents.
298,neutral,Some elderly people are playing instruments in a park.,The old man is playing the guitar.
299,neutral,Tourists waiting outside of a home to visit.,People waiting for their grandmother to let them in a home.
300,neutral,Two women in tank tops are drinking.,Two women are on vacation getting drunk.
301,neutral,Man sits at the doorway of barber shop.,the man is a barber
302,neutral,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp.",A person rides a skateboard well.
303,neutral,A boy is running in a spinning metal tunnel in the playground.,He is getting dizzy.
304,neutral,A man and a boy behind the wheel of a car.,The man behind the wheel is teaching the boy about cars.
305,neutral,Three Asian men are running down a track holding hands while a large gathering of people watches them.,Three men are performing a ritual.
306,neutral,A group of female athletes are huddled together and excited.,They are about to plan a score.
307,neutral,A runner poses for a picture with friends in a parking lot.,The runner just got first place.
308,neutral,A boy and a woman are on top of large rocks at sunset.,The faces of the people are visible
309,neutral,A man in military uniform points as three other men watch.,the man is wearing green
310,neutral,Man racing a quad on a dirt racetrack.,A man races on a four wheeler in a charity event.
311,neutral,"A boy wearing a shirt with the Simpsons character, Ralph Wiggum, plays a Nintendo DS with his sister.",A boy is playing a Nintendo DS with his sister who he loves.
312,neutral,"The player in the white dribbles the ball, while the player in the orange tries to stop him.",The player in white and the player in orange are participating in a pick-up game of basketball at the gym.
313,neutral,Two men are playing during a basketball game.,Two men are playing during a college basketball game.
314,neutral,Two little white dogs running.,A few dogs are running to their owner.
315,neutral,A man with glasses wearing a tuxedo and corsage stands near a man in a suit at a formal event.,The two men are at a wedding.
316,neutral,Workers are removing ice from a walkway.,Workers removing ice from a walkway in front of a school
317,neutral,Two oriental older women gathering rice from the fields.,Two Asian women are wearing hats.
318,neutral,Two men spar in martial arts gear.,They are wearing all black gear.
319,neutral,Two individuals use a photo kiosk,The people are together
320,neutral,A large crowd is gathered outside and one woman is yelling.,A protest is assembling.
321,neutral,A roofer in a gray sweatshirt and orange hat walks on a unfinished roof at a lake-side home.,The roofer is putting on shingles.
322,neutral,Man jumping up in the air and splitting his legs with his mouth open.,A man is performing in front of a crowd.
323,neutral,Women wait under their umbrellas for customers at a fresh food market.,It is raining outside.
324,neutral,Construction worker looking over the job site.,This worker is in charge of everyone
325,neutral,Two people are sitting on a rock looking off into the distance.,Two people are out looking for a good camping spot.
326,neutral,Woman smiling while holding a book and yellow paper star.,the woman holding book with smiling in the home
327,neutral,Asian individuals are taking pictures of some unidentified thing.,Asians spot what they think is a UFO and take pictures.
328,neutral,A yellow race car sliding through a corner as spectators watch.,A Nascar is being watched.
329,neutral,A man and a woman running in the street.,The man and woman are running in a marathon.
330,neutral,A woman with a bag is sitting amongst three people who are reading books.,The woman is in a library.
331,neutral,A scientist studies a slide in order to work on her new creation.,A woman standing near a microscope.
332,neutral,A small quaint town all lit up during the holiday season.,The town has snow on the ground.
333,neutral,A person dressed in a jacket and long pants walks down a snow-covered street in a small town.,The pants are new.
334,neutral,A student in a green shirt is writing in a notebook.,A student studying for a big exam
335,neutral,Four men are posing behind a cash register.,The men all know each other.
336,neutral,A big black poodle running on the grass with a toy in its mouth.,A dog returns a toy to its owner.
